Nome de Pregão,Códigos de Negociação,CNPJ,Atividade Principal,Site,Balanço Patrimonial - Consolidado,"Ativo Imobilizado, Investimentos e Intangível (R$ - mil)",Ativo Total (R$ - mil),Patrimônio Líquido (R$ - mil),Patrimônio Líquido Atribuído à Controladora (R$ - mil),Demonstração do Resultado - Consolidado,Receita de Venda (R$ - mil),Resultado Bruto (R$ - mil),Resultado de Equivalência Patrimonial (R$ - mil),Resultado Financeiro (R$ - mil)
AMBEV S/A,ABEV3,07.526.557/0001-00,Fabricação E Distribuição de Cervejas.,http://ri.ambev.com.br,31/12/2023,74.964.592,132.644.133,80.143.802,78.969.290,"01/01/2023 a
31/12/2023",79.736.856,40.445.285,(185.406),(3.609.752)
AZUL,AZUL4,09.305.994/0001-29,Transporte E Logística,www.voeazul.com.br,30/09/2023,11.234.848,19.605.095,(21.286.126),(21.286.126),"01/01/2023 a
30/09/2023",13.648.963,2.371.849,0,(3.468.705)
BRASIL,BBAS11; BBAS12; BBAS3,00.000.000/0001-91,Banco Múltiplo,www.bb.com.br (http://www.bb.com.br),31/12/2023,24.919.935,2.153.878.452,163.638.226,,"01/01/2023 a
31/12/2023",,88.748.731,(23.626.688),
BRADESCO,BBDC3; BBDC4,60.746.948/0001-12,Prática de Operações Bancárias em Geral.,www.bradesco.com.br,31/12/2023,33.225.155,1.927.523.249,161.182.449,,"01/01/2023 a
31/12/2023",,68.081.738,(61.623.067),
BBSEGURIDADE,BBSE3,17.344.597/0001-94,Participação No Capital Social de Outras,www.bbseguridaderi.com.br,31/12/2023,9.335.492,18.272.622,9.816.482,9.816.482,"01/01/2023 a
31/12/2023",,0,4.890.458,587.545
BRASKEM,BRKM3; BRKM5; BRKM6,42.150.391/0001-70,Produção de Produtos Químicos. Utilidades.,www.braskem.com.br,30/09/2023,45.391.089,92.015.333,5.022.596,5.022.596,"01/01/2023 a
30/09/2023",53.877.726,2.012.518,7.952,(2.601.325)
CIELO,CIEL3,01.027.058/0001-91,Empresa Prestadora de Serviços de,www.cielo.com.br (http://www.cielo.com.br),31/12/2023,9.647.801,107.782.200,14.984.852,12.281.359,"01/01/2023 a
31/12/2023",10.601.105,4.991.656,0,(154.653)
COPEL,CPLE3; CPLE5; CPLE6,76.483.817/0001-20,Geração. Transmissão. Comercialização E,http://ri.copel.com (http://http://ri.copel.com),31/12/2023,25.507.307,55.819.074,24.191.667,23.886.153,"01/01/2023 a
31/12/2023",21.479.468,4.898.040,307.809,(1.204.990)
ENGIE BRASIL,EGIE3,02.474.103/0001-19,Geração. Comercialização E Transmissão de,www.engie.com.br,31/12/2023,23.368.245,42.224.473,9.816.210,8.862.771,"01/01/2023 a
31/12/2023",10.747.784,5.907.139,993.117,(1.962.998)
ELETROBRAS,ELET3; ELET5; ELET6,00.001.180/0001-26,Empresa Holding de Geração. Transmissão,www.eletrobras.com,31/12/2023,148.876.345,267.057.654,112.464.644,112.333.372,"01/01/2023 a
31/12/2023",37.158.908,18.485.409,2.062.090,(12.002.121)
HAPVIDA,HAPV3; HAPV99,05.197.443/0001-38,Participação. Como Sócia Ou Acionista. em,www.hapvida.com.br,30/09/2023,58.208.836,74.771.863,49.114.428,49.114.428,"01/01/2023 a
30/09/2023",20.447.881,5.072.501,0,(1.048.379)
IGUATEMI S.A,IGTI11; IGTI3; IGTI4,60.543.816/0001-93,Exploração Comercial. Adminstração E,ri.iguatemi.com.br,31/12/2023,5.539.905,7.791.679,4.177.518,4.177.323,"01/01/2023 a
31/12/2023",1.157.163,738.955,(33.787),(260.331)
ITAUUNIBANCO,ITUB3; ITUB4,60.872.504/0001-23,A Sociedade Tem Por Objeto A Atividade,www.itau-unibanco.com.br/relacoes-com-,31/12/2023,32.499.000,2.543.100.000,199.050.000,190.177.000,"01/01/2023 a
31/12/2023",,124.526.000,920.000,
MAGAZ LUIZA,MGLU3,47.960.950/0001-21,Somos Uma Plataforma de Varejo,www.magazineluiza.com.br,30/09/2023,9.998.927,36.918.960,9.532.654,9.532.654,"01/01/2023 a
30/09/2023",26.218.408,7.697.584,(28.353),(1.465.059)
PETROBRAS,PETR3; PETR4,33.000.167/0001-01,Pesquisa. Lavra. Re{nação. Processamento.,www.petrobras.com.br,31/12/2023,764.074.000,1.050.888.000,382.340.000,380.441.000,"01/01/2023 a
31/12/2023",511.994.000,269.933.000,(1.480.000),(11.861.000)
PETZ,PETZ3,18.328.118/0001-09,Importação. Exportação E Comércio,www.petz.com.br (http://www.petz.com.br),31/12/2023,2.465.776,3.995.411,1.808.893,1.808.893,"01/01/2023 a
31/12/2023",3.173.241,1.481.788,0,(101.578)
TAESA,TAEE11; TAEE3; TAEE4,07.859.971/0001-30,Transmissão de Energia Elétrica.,www.taesa.com.br,31/12/2023,3.889.620,19.448.656,6.679.310,6.679.310,"01/01/2023 a
31/12/2023",3.362.116,2.121.396,427.513,(903.822)
TIM,TIMS3,02.421.421/0001-11,Classi{cação Setorial:,,31/12/2023,39.487.668,55.260.156,26.015.940,26.015.940,"01/01/2023 a
31/12/2023",23.833.893,12.337.456,(89.304),(1.533.265)
VALE,VALE3,33.592.510/0001-54,Mineração,,31/12/2023,299.672.000,455.984.000,198.325.000,190.965.000,"01/01/2023 a
31/12/2023",208.066.000,88.050.000,(5.434.000),(9.718.000)
VAMOS,VAMO3,23.373.000/0001-32,Locação E Venda de Caminhões. Máquinas,http://www.grupovamos.com.br/,30/09/2023,13.271.083,19.219.164,4.878.781,4.878.781,"01/01/2023 a
30/09/2023",4.632.745,2.053.244,0,(1.178.667)
